,broad_type
972,Unclassified
973,Unclassified
974,Unclassified
975,Unclassified
976,Unclassified
977,Unclassified
978,Unclassified
979,Unclassified
980,Unclassified
981,Unclassified
982,Unclassified
983,Unclassified
984,Unclassified
985,Unclassified
986,Unclassified
987,Unclassified
988,Unclassified
989,Unclassified
990,Unclassified
991,Unclassified
992,Unclassified
993,Unclassified
994,Unclassified
995,Unclassified
996,Unclassified
997,Unclassified
998,Unclassified
999,Unclassified
1000,Unclassified
1001,Unclassified
1002,Unclassified
1003,Unclassified
1004,Unclassified
1005,Unclassified
1006,Unclassified
1007,Unclassified
1008,Unclassified
1009,Unclassified
1010,Unclassified
1011,GABA-ergic Neuron
1012,GABA-ergic Neuron
1013,GABA-ergic Neuron
1014,GABA-ergic Neuron
1015,GABA-ergic Neuron
1016,GABA-ergic Neuron
1017,GABA-ergic Neuron
1018,GABA-ergic Neuron
1019,GABA-ergic Neuron
1020,GABA-ergic Neuron
1021,GABA-ergic Neuron
1022,GABA-ergic Neuron
1023,GABA-ergic Neuron
1024,GABA-ergic Neuron
1025,GABA-ergic Neuron
1026,GABA-ergic Neuron
1027,GABA-ergic Neuron
1028,GABA-ergic Neuron
1029,GABA-ergic Neuron
1030,GABA-ergic Neuron
1031,GABA-ergic Neuron
1032,GABA-ergic Neuron
1033,GABA-ergic Neuron
1034,GABA-ergic Neuron
1035,GABA-ergic Neuron
1036,GABA-ergic Neuron
1037,GABA-ergic Neuron
1038,GABA-ergic Neuron
1039,GABA-ergic Neuron
1040,GABA-ergic Neuron
1041,GABA-ergic Neuron
1042,GABA-ergic Neuron
1043,GABA-ergic Neuron
1044,GABA-ergic Neuron
1045,GABA-ergic Neuron
1046,GABA-ergic Neuron
1047,GABA-ergic Neuron
1048,GABA-ergic Neuron
1049,GABA-ergic Neuron
1050,GABA-ergic Neuron
1051,GABA-ergic Neuron
1052,GABA-ergic Neuron
1053,GABA-ergic Neuron
1054,GABA-ergic Neuron
1055,GABA-ergic Neuron
1056,GABA-ergic Neuron
1057,GABA-ergic Neuron
1058,GABA-ergic Neuron
1059,GABA-ergic Neuron
1060,GABA-ergic Neuron
